# TeXdoc database file
# some documentation is included in .sty files only; texdoctk needs keys for
# extracting it at the beginning of the 4th field:
# -0-: no specific place; -1-: at end, behind \endinput; -2-: at beginning,
# terminated by %%%%%%; -3-: at beginning, terminated with blank line
@Fundamentals/general references
marvosym;Marvosym symbol fonts (marvosym);fonts/marvosym/marvodoc.pdf;
stmaryrd;St. Mary's Road symbol font (stmaryrd);latex/styles/stmaryrd.dvi;
ccfonts;Concrete fonts (ccfonts);latex/ccfonts/ccfonts.dvi;
beton;Automatic use of Concrete fonts (beton);latex/styles/beton.dvi;
cbgreek;Greek fonts (cbgreek);fonts/cbgreek/cbgreek.txt;
yfonts;Usage of old german fonts (yfonts);latex/yfonts/yfonts.dvi;
oldgerm;Old german fonts (oldgerm);latex/mfnfss/oldgerm.dvi;
mflogo;The logo font family (mflogo);latex/styles/mflogo.dvi;Metafont logo
rawfonts;Emulate 2.09 font commands & load fonts (rawfonts);latex/tools/rawfonts.dvi;compatibility
#
@Languages/national specials
babel;Languages (babel);generic/babel/user.dvi;hyphenation
MLTeX;Multilingual TeX (MLTeX);latex/mltex/mltex.txt;
cyrguide;Cyrillic languages in LaTeX;latex/base/cyrguide.dvi;
cyinpenc;Cyrillic input encoding tables;latex/cyrillic/cyinpenc.dvi;
cyoutenc;Cyrillic font encoding tables;latex/cyrillic/cyoutenc.dvi;
ntgclass;Dutch document classes;latex/ntgclass/ntgclass.dvi;
articlex;Dutch extended article class;latex/ntgclass/artdoc.dvi;
rapdoc;Dutch extended report class;latex/ntgclass/rapdoc.dvi;
brief;Dutch (NEN) letter style (brief);latex/ntgclass/briefdoc.dvi;
aeguill;French guillemets with EC/LASY fonts (aeguill);latex/misc/aeguill.sty
gerdoc;German styles (old/new orthography);generic/styles/gerdoc.dvi;
dinbrief;DIN letter (dinbrief);latex/dinbrief/dinbrief.dvi;
g-brief;Alternative german letter style (g-brief);latex/g-brief/g-brief.dvi;
cbgreek;Greek fonts (cbgreek);fonts/cbgreek/cbgreek.txt;
polish;Polish packages in teTeX;polish/index.html;polski
MeX;Polish extension of Plain TeX (MeX);polish/mex/mex.html;polski
platex;Polish extensions to LaTeX (PLaTeX/pdfPLaTeX);latex/platex/platex.html;polski
mwcls;Polish classes for LaTeX (mwcls);latex/mwcls/mwclsdoc.pdf;polski
ukrhyph;Ukrainian hyphenation (ukrhyph), english README;generic/ukrhyph/README;
ukrhyph1;Modern ukrainian hyphenation rules;generic/ukrhyph/rules.ps
ukrhyph2;Old ukrainian hyphenation rules;generic/ukrhyph/rules60.ps
ukrhyph3;Ukrainian hyphenation rules, part 3;generic/ukrhyph/rules_ph.ps
#
@General layout
geometry;Page layout (geometry);latex/geometry/geometry.pdf;
vmargin;Paper sizes and margins (vmargin);latex/styles/vmargin.dvi;
fullpage;Make text fill almost entire page (fullpage);latex/preprint/fullpage.dvi;
fix2col;Bugfix for two-column typesetting (fix2col);latex/carlisle/fix2col.dvi;
multicol;Multiple columns (multicol);latex/tools/multicol.dvi;
balance;Balance last two-column page of preprints (balance);latex/preprint/balance.dvi;preprint, submission
portland;Switch portrait <-> landscape (portland);latex/misc/portland.sty;-3-, paper orientation
fancyhdr;Page headers/footers/numbering (fancyhdr);latex/fancyhdr/fancyhdr.dvi;headers, footers, page numbers
extramarks;Additional marks for headers/footers in fancyhdr (extramarks);latex/fancyhdr/fancyhdr.dvi;headers, footers
eso-pic;Add pictures to every page (eso-pic);latex/eso-pic/eso-pic.dvi;graphics
titlesec;Chapter/section headings 1 (titlesec);latex/styles/titlesec.dvi;titles
sectsty;Chapter/section headings 2 (sectsty);latex/styles/sectsty.dvi; titles
chappg;Page numbering by chapter (chappg);latex/styles/chappg.txt;
anysize;Margin sizes (anysize);latex/anysize/anysize.dvi;
ragged2e;Ragged margins (ragged2e);latex/ms/ragged2e.dvi;
setspace;Double line spacing 1 (setspace);latex/misc/setspace.sty;-2-
doublespace;Double line spacing 2 (doublespace);latex/misc/doublespace.sty;-2-
shapepar;Shaped paragraphs (shapepar);latex/misc/shapepar.sty;-1-
indentfirst;Indent 1st line of sections etc. by usual amount;latex/tools/indentfirst.dvi;indentation;
crop;Crop marks (crop);latex/styles/crop.dvi;layout
parskip;\parindent=0 and \parskip != 0;latex/misc/parskip.sty;-3-
layouts;Visual layout control (layouts);latex/styles/layman.dvi;
layout;Display layout parameters (layout);latex/tools/layout.dvi;
scale;Scale a whole document (scale);latex/scale/scale.dvi;
#
@Floating objects/captions
floatflt;Floating figures (floatflt);latex/floatflt/floatflt.dvi;layout, tables, graphics
float;Floating objects (float);latex/styles/float.dvi;layout, tables, graphics
rotfloat;Rotated floats (rotfloat);latex/rotfloat/rotfloat.dvi;tables, graphics
endfloat;Move all floats to end of document (endfloat);latex/styles/endfloat.dvi;
afterpage;Expand float command after current page (afterpage);latex/tools/afterpage.dvi;
placeins;Place floats "in place" (placeins);latex/styles/placeins.txt;
